Target_genes	Esrra|Average	SRX21934343|Brown_adipocytes	SRX17622702|Brown_adipose_tissue	SRX17622703|Brown_adipose_tissue	SRX1890323|Brown_adipose_tissue	SRX1890324|Brown_adipose_tissue	SRX1716885|C2C12	SRX24915614|Duodenal_villus	SRX24915615|Duodenal_villus	SRX1743135|Frontal_cortex	SRX1743136|Frontal_cortex	SRX15672330|Liver	SRX15672332|Liver	SRX18421145|Liver	SRX18421147|Liver	SRX18421149|Skeletal_muscle	SRX18421151|Skeletal_muscle	SRX218535|Unclassified	STRING
Brox	1737.823529	304	384	732	432	338	0	711	729	2262	2292	3364	3586	3414	2803	2609	2461	3122	0
Aida	1737.823529	304	384	732	432	338	0	711	729	2262	2292	3364	3586	3414	2803	2609	2461	3122	0
Med23	1344.588235	2777	593	1597	2247	2183	778	233	0	1566	2249	0	860	1491	1681	527	840	3236	0
Tcstv3	1209.882353	0	0	134	132	148	2403	759	1727	1893	1984	1006	1150	1861	1990	1510	1873	1998	0
Esrra	1168.235294	1675	562	1207	1244	1190	188	206	0	1235	1572	336	1064	1548	1789	1249	1925	2870	0
Catsperz	1168.235294	1675	562	1207	1244	1190	188	206	0	1235	1572	336	1064	1548	1789	1249	1925	2870	0
Tmem125	1157.941176	0	0	0	191	192	94	1091	1206	1709	1634	1875	2078	1869	2024	1890	1922	1910	0
Eno1	930.941176	1240	670	1996	1122	678	473	0	123	938	1377	131	751	1088	1419	794	1063	1963	0
Phf5a	829.764706	1565	754	1509	1223	1613	283	155	150	511	791	0	433	683	869	773	1137	1657	0
Aco2	829.764706	1565	754	1509	1223	1613	283	155	150	511	791	0	433	683	869	773	1137	1657	0
Ndufs7	802.000000	1420	374	1440	1018	1029	592	188	0	1288	1842	0	499	487	712	665	638	1442	0
Aldoa	791.235294	437	117	561	202	283	0	326	100	639	1115	285	1004	1389	1803	1327	1611	2252	0
Clybl	722.823529	250	235	911	204	131	0	0	0	1215	1939	0	741	1109	1239	659	1055	2600	0
Sh2b1	704.882353	958	395	1415	712	519	347	0	0	1258	1819	0	230	500	713	411	542	2164	0
Ndufb4	690.882353	1291	185	427	512	596	133	0	0	430	1109	0	261	1073	1296	588	982	2862	0
Cabcoco1	689.882353	888	224	720	340	524	0	213	0	611	1164	0	1138	986	1228	315	549	2828	0
Hpx	687.294118	1557	285	852	953	1066	111	0	0	424	662	0	323	577	708	428	1114	2624	0
